chr	pos	strand	ratio
chr1	1733368	-	0.12
chr1	1733394	-	0.13
chr1	1733414	-	0.12
chr1	1733472	-	0.82
chr1	1733474	-	0.17
chr1	1733475	-	0.57
chr1	1733659	-	0.6
chr1	1733669	-	0.18
chr1	1733718	-	0.09
chr1	1733729	-	0.5
chr1	1733740	-	0.52
chr1	1733792	-	0.12
chr1	1734293	-	0.17
chr1	1734352	-	0.75
chr1	1734353	-	0.52
chr1	1734359	-	0.14
chr1	1734385	-	0.09
chr1	1734393	-	0.11
chr1	1734408	-	0.23
chr1	1734418	-	0.77
chr1	1734419	-	0.43
chr1	1734433	-	0.13
chr1	1734434	-	0.06
chr1	1734461	-	0.07
chr1	1734486	-	0.06
chr1	1734503	-	0.11
chr1	1736333	-	0.09
chr1	1881541	-	0.3
chr1	1886195	-	0.3
chr1	1886217	-	0.38
chr1	1886295	-	0.4
chr1	1886303	-	0.29
chr1	1886311	-	0.31
chr1	1888737	-	0.55
chr1	1888775	-	0.43
chr1	1888845	-	0.43
chr1	2171118	+	0.23
chr1	2171531	+	0.5
chr1	2191572	-	0.15
chr1	2366660	-	0.5
chr1	2366667	-	0.55
chr1	2366705	-	0.3
chr1	2366762	-	0.53
chr1	2366766	-	0.43
chr1	2367408	-	0.21
chr1	2367711	-	0.45
chr1	2368798	-	0.22
chr1	2368813	-	0.18
chr1	2368890	-	0.27
chr1	2369106	-	0.57
chr1	2369161	-	0.81
chr1	2369186	-	0.17
chr1	2369231	-	0.83
chr1	2369241	-	1
chr1	2371311	-	0.27
chr1	3737614	-	0.01
chr1	3785929	-	0.14
chr1	3786085	-	0.25
chr1	3786141	-	0.16
chr1	3786375	-	0.71
chr1	3786377	-	0.15
chr1	3786417	-	0.11
chr1	3813762	-	0.5
chr1	3813835	-	0.61
chr1	3861701	+	0.27
chr1	3864149	+	0.4
chr1	3864238	+	0.25
chr1	3889546	-	0.01
chr1	3898424	-	0.87
chr1	6188213	-	0.16
chr1	6188303	-	0.12
chr1	6188306	-	0.23
chr1	6188310	-	0.29
chr1	6188517	-	0.12
chr1	6190655	-	0.5
chr1	6192163	-	0.25
chr1	6192245	-	0.43
chr1	6192335	-	0.18
chr1	6192532	-	0.19
chr1	6192574	-	0.19
chr1	6192576	-	0.17
chr1	6192586	-	0.33
chr1	6192615	-	0.15
chr1	6219672	-	0.3
chr1	6219908	+	0.26
chr1	6222161	-	0.03
chr1	6222163	-	0.45
chr1	6222176	-	0.11
chr1	6222240	-	0.28
chr1	6222254	-	0.21
chr1	6222263	-	0.49
chr1	6222310	-	0.12
chr1	6222313	-	0.02
chr1	6222322	-	0.3
chr1	6222340	-	0.2
chr1	6222360	-	0.01
chr1	6222365	-	0.02
chr1	6222375	-	0.01
chr1	6222384	-	0.01
chr1	6222426	-	0.01
chr1	6223199	-	0.3
chr1	6223203	-	0.09
chr1	6223204	-	0.01
chr1	6223212	-	0.06
chr1	6223218	-	0.02
chr1	6223231	-	0.05
chr1	6223239	-	0.04
chr1	6223244	-	0.35
chr1	6223271	-	0.04
chr1	6223278	-	0.06
chr1	6223281	-	0.19
chr1	6223283	-	0.14
chr1	6223285	-	0.12
chr1	6223286	-	0.13
chr1	6223287	-	0.45
chr1	6223290	-	0.2
chr1	6223303	-	0.07
chr1	6223335	-	0.4
chr1	6223340	-	0.29
chr1	6223373	-	0.08
chr1	6223378	-	0.54
chr1	6223387	-	0.12
chr1	6236294	+	0.19
chr1	6237038	+	0.33
chr1	6237050	+	0.43
chr1	6251856	-	0.19
chr1	6251893	-	0.75
chr1	6253312	-	0.58
chr1	6253313	-	0.46
chr1	6253332	-	0.23
chr1	6522088	-	0.02
chr1	6522100	-	0.03
chr1	6522305	-	0.03
chr1	6522440	-	0.03
chr1	6522441	-	0.06
chr1	6522462	-	0.03
chr1	6522466	-	0.14
chr1	6522975	-	0.15
chr1	6523005	-	0.07
chr1	6523011	-	0.03
chr1	6523036	-	0.04
chr1	6523038	-	0.03
chr1	6523101	-	0.04
chr1	6523155	-	0.04
chr1	6523322	-	0.12
chr1	6523334	-	0.17
chr1	6523335	-	0.04
chr1	6523408	-	0.03
chr1	6523413	-	0.03
chr1	6523454	-	0.07
chr1	6523456	-	0.05
chr1	6523466	-	0.32
chr1	6523477	-	0.19
chr1	6523478	-	0.05
chr1	6523495	-	0.09
chr1	6524768	-	0.04
chr1	6524811	-	0.1
chr1	6525167	-	0.05
chr1	6525271	-	0.05
chr1	6646910	-	0.14
chr1	6646911	-	0.1
chr1	6646989	-	0.09
chr1	6647033	-	0.2
chr1	6647038	-	0.13
chr1	6647173	-	0.19
chr1	6647209	-	0.13
chr1	6647219	-	0.19
chr1	6647244	-	0.15
chr1	6647270	-	0.14
chr1	6647357	-	0.36
chr1	6647614	-	0.11
chr1	6648292	-	0.69
chr1	6648594	-	0.04
chr1	6648607	-	0.11
chr1	6648619	-	0.25
chr1	6648620	-	0.08
chr1	6648659	-	0.07
chr1	6648683	-	0.05
chr1	6648714	-	0.4
chr1	6649034	-	0.06
chr1	6649108	-	0.23
chr1	6649136	-	0.2
chr1	6649307	-	0.14
chr1	6649397	-	0.09
chr1	6649427	-	0.89
chr1	6649440	-	0.14
chr1	6649441	-	0.09
chr1	6649769	-	0.14
chr1	6649803	-	0.07
chr1	6649845	-	0.26
chr1	6649871	-	0.09
chr1	6650143	-	0.45
chr1	6650151	-	0.47
chr1	6650186	-	0.07
chr1	6650216	-	0.07
chr1	6650320	-	0.07
chr1	6650321	-	0.22
chr1	6650399	-	0.14
chr1	6650465	-	0.06
chr1	6650482	-	0.18
chr1	6650483	-	0.08
chr1	6650513	-	0.14
chr1	6650524	-	0.6
chr1	6650534	-	0.27
chr1	6650690	-	0.47
chr1	6656909	-	0.6
chr1	6883102	+	0.33
chr1	6883167	+	0.25
chr1	9100840	-	0.11
chr1	9100898	-	0.21
chr1	9100915	-	0.24
chr1	9100916	-	0.14
chr1	9100929	-	0.14
chr1	9101132	-	0.29
chr1	9101136	-	0.34
chr1	9101139	-	0.46
chr1	9101143	-	0.5
chr1	9101158	-	0.15
chr1	9101185	-	0.53
chr1	9102183	-	0.18
chr1	9102192	-	0.2
chr1	9102243	-	0.44
chr1	9102334	-	0.42
chr1	9103225	-	0.22
chr1	9103230	-	0.22
chr1	9103259	-	0.25
chr1	9103274	-	0.22
chr1	9103323	-	0.09
chr1	9103327	-	0.51
chr1	9103342	-	0.31
chr1	9103345	-	0.14
chr1	9103382	-	0.19
chr1	9103390	-	0.13
chr1	9148991	-	0.04
chr1	9149018	-	0.17
chr1	9149091	-	0.13
chr1	9149100	-	0.04
chr1	9149135	-	0.39
chr1	9149183	-	0.13
chr1	9149375	-	0.62
chr1	9149383	-	0.03
chr1	9149389	-	0.63
chr1	9149405	-	0.04
chr1	9149409	-	0.07
chr1	9149413	-	0.51
chr1	9149418	-	0.04
chr1	9149422	-	0.04
chr1	9149428	-	0.08
chr1	9149431	-	0.09
chr1	9149463	-	0.11
chr1	9266894	+	0.12
chr1	9266897	+	0.23
chr1	9266900	+	0.08
chr1	9267048	+	0.08
chr1	9268034	+	0.18
chr1	9268153	+	0.17
chr1	9268163	+	0.17
chr1	9268182	+	0.66
chr1	9268183	+	0.56
chr1	9268195	+	0.07
chr1	9271015	+	0.05
chr1	9271034	+	0.07
chr1	9582969	+	0.12
chr1	9582995	+	0.28
chr1	9583047	+	0.1
chr1	9583048	+	0.11
chr1	9583095	+	0.17
chr1	9583096	+	0.33
chr1	9583136	+	0.27
chr1	9583137	+	0.21
chr1	9583138	+	0.08
chr1	9583804	+	0.3
chr1	9583814	+	0.1
chr1	9583828	+	0.07
chr1	9583871	+	0.16
chr1	9583873	+	0.09
chr1	9584462	+	0.07
chr1	9584463	+	0.31
chr1	9584473	+	0.06
chr1	9584476	+	0.71
chr1	9584485	+	0.1
chr1	9584499	+	0.33
chr1	9584502	+	0.1
chr1	9584503	+	0.16
chr1	9584528	+	0.14
chr1	9584578	+	0.26
chr1	9584581	+	0.41
chr1	9584595	+	0.41
chr1	9584598	+	0.49
chr1	9584607	+	0.06
chr1	9584632	+	0.06
chr1	9584674	+	0.05
chr1	9584788	+	0.05
chr1	9584814	+	0.04
chr1	9672657	-	0.04
chr1	9678215	-	0.23
chr1	9678277	-	0.44
chr1	9678333	-	0.53
chr1	9678343	-	0.25
chr1	9678368	-	0.38
chr1	9679909	-	0.27
chr1	9679932	-	0.2
chr1	9679952	-	0.12
chr1	9680061	-	0.12
chr1	9680096	-	0.07
chr1	9680097	-	0.07
chr1	9680248	-	0.19
chr1	9680424	-	0.31
chr1	9682512	-	0.3
chr1	9738897	-	0.12
chr1	9739595	-	0.24
chr1	9739640	-	0.11
chr1	9740334	-	0.08
chr1	9927377	-	0.08
chr1	9927384	-	0.03
chr1	9927386	-	0.04
chr1	9927389	-	0.09
chr1	9927403	-	0.04
chr1	9927411	-	0.17
chr1	9927421	-	0.04
chr1	9927425	-	0.24
chr1	9927465	-	0.13
chr1	9927514	-	0.06
chr1	9927519	-	0.04
chr1	9927572	-	0.07
chr1	9927581	-	0.06
chr1	9927768	-	0.13
chr1	9927785	-	0.39
chr1	9927788	-	0.47
chr1	9927789	-	0.26
chr1	9927791	-	0.15
chr1	9927794	-	0.65
chr1	9927798	-	0.43
chr1	9927804	-	0.1
chr1	9927811	-	0.3
chr1	9927821	-	0.23
chr1	9927831	-	0.15
chr1	9927837	-	0.05
chr1	9927877	-	0.13
chr1	9927890	-	0.07
chr1	9927892	-	0.15
chr1	9927893	-	0.18
chr1	9927906	-	0.15
chr1	9927931	-	0.05
chr1	9928054	-	0.03
chr1	9928079	-	0.04
chr1	9928109	-	0.07
chr1	9928189	-	0.69
chr1	9928190	-	0.44
chr1	9928200	-	0.36
chr1	9928225	-	0.1
chr1	9928252	-	0.09
chr1	9928310	-	0.11
chr1	9928631	-	0.05
chr1	9928632	-	0.22
chr1	9928633	-	0.12
chr1	9928659	-	0.05
chr1	9928690	-	0.09
chr1	9928701	-	0.06
chr1	9928705	-	0.03
chr1	9928707	-	0.05
chr1	9928731	-	0.04
chr1	9928753	-	0.04
chr1	9928767	-	0.24
chr1	9928775	-	0.1
chr1	9928792	-	0.15
chr1	9928799	-	0.04
chr1	9982878	+	0.2
chr1	9982896	+	0.6
chr1	9982927	+	0.3
chr1	9982928	+	0.36
chr1	9983020	+	0.36
chr1	9983030	+	0.33
chr1	9983243	+	0.19
chr1	9983299	+	0.53
chr1	9983304	+	0.19
chr1	9984246	+	0.15
chr1	9984251	+	0.9
chr1	9984307	+	0.09
chr1	9984308	+	0.15
chr1	9984320	+	0.14
chr1	10377752	+	0.06
chr1	10377780	+	0.04
chr1	10377814	+	0.03
chr1	10377860	+	0.04
chr1	10380519	+	0.02
chr1	10380521	+	0.02
chr1	10380619	+	0.02
chr1	10380688	+	0.01
chr1	10396744	+	0.36
chr1	10396746	+	0.23
chr1	10452662	-	0.3
chr1	10457248	-	0.05
chr1	10457251	-	0.01
chr1	10457255	-	0.15
chr1	10457256	-	0.12
chr1	10457277	-	0.02
chr1	10457304	-	0.06
chr1	10457323	-	0.01
chr1	10457325	-	0.03
chr1	10457345	-	0.02
chr1	10457427	-	0.13
chr1	10457446	-	0.03
chr1	10457467	-	0.1
chr1	10457469	-	0.4
chr1	10457480	-	0.13
chr1	10457492	-	0.08
chr1	10457500	-	0.18
chr1	10457509	-	0.14
chr1	10457537	-	0.05
chr1	10457553	-	0.02
chr1	10457565	-	0.23
chr1	10457577	-	0.16
chr1	10457590	-	0.04
chr1	10457601	-	0.24
chr1	10457614	-	0.05
chr1	10457615	-	0.03
chr1	10457631	-	0.03
chr1	10457633	-	0.14
chr1	10457639	-	0.04
chr1	10457651	-	0.02
chr1	10457940	-	0.02
chr1	10457954	-	0.01
chr1	10457962	-	0.02
chr1	10457992	-	0.01
chr1	10457994	-	0.07
chr1	10458630	-	0.07
chr1	10458634	-	0.03
chr1	10458643	-	0.01
chr1	10458675	-	0.08
chr1	10458676	-	0.03
chr1	10458702	-	0.03
chr1	10458717	-	0.04
chr1	10458754	-	0.03
chr1	10458763	-	0.02
chr1	10458773	-	0.05
chr1	10458786	-	0.05
chr1	10458787	-	0.03
chr1	10458815	-	0.03
chr1	10458917	-	0.01
chr1	10458918	-	0.02
chr1	10458944	-	0.02
chr1	10458948	-	0.02
chr1	10458990	-	0.08
chr1	10458998	-	0.01
chr1	10459006	-	0.21
chr1	10459016	-	0.02
chr1	10459021	-	0.02
chr1	10459054	-	0.03
chr1	10459056	-	0.08
chr1	10459069	-	0.01
chr1	10459071	-	0.01
chr1	10459080	-	0.02
chr1	10459085	-	0.04
chr1	10459103	-	0.05
chr1	10459114	+	0.01
chr1	10459126	-	0.01
chr1	10459132	-	0.07
chr1	10459134	-	0.01
chr1	10459816	-	0.05
chr1	10459842	-	0.06
chr1	10459851	-	0.04
chr1	10459874	-	0.13
chr1	10459888	-	0.08
chr1	10459891	-	0.02
chr1	10459892	-	0.04
chr1	10459893	-	0.01
chr1	10459894	-	0.04
chr1	10459895	-	0.02
chr1	10459971	-	0.05
chr1	10459987	-	0.03
chr1	10460087	-	0.11
chr1	10460120	-	0.12
chr1	10460175	-	0.04
chr1	10460181	-	0.03
chr1	10460187	-	0.05
chr1	10460238	-	0.44
chr1	10460384	-	0.01
chr1	10460398	-	0.05
chr1	10460405	-	0.03
chr1	10460406	-	0.01
chr1	10460431	-	0.02
chr1	10460447	-	0.08
chr1	10460460	-	0.01
chr1	10460465	-	0.03
chr1	10460605	-	0.02
chr1	10460611	-	0.07
chr1	10460614	-	0.17
chr1	10460618	-	0.02
chr1	10460625	-	0.14
chr1	10460626	-	0.11
chr1	10460634	-	0.04
chr1	10460644	-	0.05
chr1	10460657	-	0.23
chr1	10460661	-	0.03
chr1	10460667	-	0.17
chr1	10460700	-	0.01
chr1	10460708	-	0.02
chr1	10460709	-	0.11
chr1	10460712	-	0.02
chr1	10460722	-	0.01
chr1	10460756	-	0.03
chr1	10461004	-	0.02
chr1	10461036	-	0.14
chr1	10461090	-	0.04
chr1	10461129	-	0.02
chr1	10461959	-	0.03
chr1	10461982	-	0.03
chr1	10461992	-	0.09
chr1	10462257	-	0.07
chr1	10462307	-	0.05
chr1	10462349	-	0.03
chr1	11020661	+	0.36
chr1	11020703	+	0.09
chr1	11020815	+	0.15
chr1	11020834	+	0.05
chr1	11020859	+	0.05
chr1	11020870	+	0.13
chr1	11021217	+	0.1
chr1	11021255	+	0.25
chr1	11021320	+	0.11
chr1	11021392	+	0.1
chr1	11021529	+	0.09
chr1	11021539	+	0.03
chr1	11021609	+	0.03
chr1	11021733	+	0.04
chr1	11021884	+	0.41
chr1	11021890	+	0.17
chr1	11027974	+	0.15
chr1	11028034	+	0.09
chr1	11028035	+	0.09
chr1	11028100	+	0.11
chr1	11028106	+	0.09
chr1	11028142	+	0.08
chr1	11028171	+	0.09
chr1	11028175	+	0.13
chr1	11028204	+	0.13
chr1	11028842	+	0.12
chr1	11028919	+	0.21
chr1	11029379	+	0.1
chr1	11029755	+	0.22
chr1	11029767	+	0.15
chr1	11029777	+	0.17
chr1	11029811	+	0.1
chr1	11078024	-	0.57
chr1	11078037	-	0.25
chr1	11078080	-	0.33
chr1	11078103	-	0.18
chr1	11078244	-	0.25
chr1	11078528	-	0.2
chr1	11078529	-	0.29
chr1	11083125	-	0.5
chr1	11287807	+	0.03
chr1	11287940	+	0.02
chr1	11298059	+	0.42
chr1	11298060	+	0.27
chr1	11298067	+	0.21
chr1	11298077	+	0.1
chr1	11298089	+	0.27
chr1	11298099	+	0.24
chr1	11298120	+	0.69
chr1	11298124	+	0.17
chr1	11298146	+	0.25
chr1	11298192	+	0.22
chr1	11298219	+	0.29
chr1	11298352	+	0.76
chr1	11298358	+	0.81
chr1	11298405	+	0.22
chr1	11298436	+	0.2
chr1	11298485	+	0.8
chr1	11685038	-	0.82
chr1	11685050	-	0.7
chr1	11685097	-	0.3
chr1	11720377	+	0.03
chr1	11720473	+	0.03
chr1	11720540	+	0.04
chr1	11721712	+	0.16
chr1	11721728	+	0.17
chr1	11721729	+	0.14
chr1	11721764	+	0.09
chr1	11721774	+	0.41
chr1	11721805	+	0.39
chr1	11721806	+	0.06
chr1	11721808	+	0.24
chr1	11721907	+	0.09
chr1	11721945	+	0.11
chr1	11722001	+	0.12
chr1	11722036	+	0.07
chr1	11722042	+	0.05
chr1	11722046	+	0.05
chr1	11722375	+	0.1
chr1	11722877	+	0.17
chr1	11722925	+	0.06
chr1	11722926	+	0.12
chr1	11722929	+	0.22
chr1	11722943	+	0.17
chr1	11722952	+	0.07
chr1	11722955	+	0.17
chr1	11722991	+	0.12
chr1	11723006	+	0.36
chr1	11723009	+	0.25
chr1	11723046	+	0.32
chr1	11723047	+	0.18
chr1	11723078	+	0.35
chr1	11723087	+	0.15
chr1	11723088	+	0.24
chr1	11723089	+	0.15
chr1	11723853	+	0.19
chr1	11725124	+	0.14
chr1	11725235	+	0.06
chr1	11725241	+	0.16
chr1	11725264	+	0.02
chr1	11725272	+	0.02
chr1	11785834	-	0.07
chr1	11804292	-	0.31
chr1	11822289	+	0.55
chr1	12027101	+	0.42
chr1	12027108	+	0.3
chr1	12027956	+	0.29
chr1	12028126	+	0.31
chr1	12028127	+	0.46
chr1	13614711	+	0.21
chr1	13615343	+	0.31
chr1	15489969	-	0.14
chr1	15489978	-	0.1
chr1	15489984	-	0.14
chr1	15489997	-	0.32
chr1	15490001	-	0.21
chr1	15490010	-	0.38
chr1	15490037	-	0.13
chr1	15490042	-	0.12
chr1	15490043	-	0.17
chr1	15490061	-	0.36
chr1	15490076	-	0.17
chr1	15490105	-	0.12
chr1	15490110	-	0.3
chr1	15490641	-	0.21
chr1	15490747	-	0.27
chr1	15490786	-	0.13
chr1	15490787	-	0.2
chr1	15490793	-	0.46
chr1	15491539	-	0.21
chr1	15491609	-	0.17
chr1	15491751	-	0.33
chr1	15566685	-	0.4
chr1	15571978	-	0.92
chr1	15572020	-	0.54
chr1	15572022	-	0.11
chr1	15572028	-	0.89
chr1	15572032	-	0.11
chr1	15572058	-	0.44
chr1	15572061	-	0.39
chr1	15572062	-	0.15
chr1	15572087	-	0.22
chr1	15572106	-	0.28
chr1	15572411	-	0.3
chr1	15572455	-	0.2
chr1	15572456	-	0.47
chr1	15572487	-	0.24
chr1	15572491	-	0.35
chr1	15572497	-	0.27
chr1	15572532	-	0.55
chr1	15572534	-	0.5
chr1	15572535	-	0.25
chr1	15572848	-	0.15
chr1	15572849	-	0.09
chr1	15573073	-	0.25
chr1	15573092	-	0.24
chr1	15573134	-	0.15
chr1	15573143	+	0.1
chr1	15573219	-	0.36
chr1	15573251	-	0.68
chr1	15763858	+	0.23
chr1	15778300	+	0.3
chr1	15779933	+	0.33
chr1	16229109	-	0.32
chr1	16229136	-	0.27
chr1	16229254	-	0.19
chr1	16231083	-	0.19
chr1	16231222	-	0.3
chr1	16457909	-	0.69
chr1	16458418	-	0.52
chr1	16458429	-	0.33
chr1	16458435	-	0.29
chr1	16458490	-	0.47
chr1	16458507	-	0.32
chr1	16460715	-	0.28
chr1	16461427	-	0.3
chr1	16463053	-	0.73
chr1	16463071	-	0.64
chr1	16463113	-	0.55
chr1	16463123	-	0.27
chr1	16463179	-	0.27
chr1	16463265	-	0.64
chr1	16465528	-	0.3
chr1	16466289	-	0.25
chr1	16466322	-	0.13
chr1	16466323	-	0.09
chr1	16466329	-	0.09
chr1	16466353	-	0.3
chr1	16466361	-	0.13
chr1	16466584	-	0.23
chr1	16466629	-	0.18
chr1	16470932	-	0.1
chr1	16470997	-	0.13
chr1	16471009	-	0.15
chr1	16471058	-	0.06
chr1	16471074	-	0.06
chr1	16474744	-	0.17
chr1	16474757	-	0.14
chr1	16474830	-	0.35
chr1	16474838	-	0.35
chr1	16474847	-	0.18
chr1	16474853	-	0.28
chr1	16474854	-	0.65
chr1	16474862	-	0.24
chr1	16475610	-	0.11
chr1	16492900	-	0.73
chr1	16492938	-	0.25
chr1	16492942	-	0.27
chr1	16492944	-	0.42
chr1	16493022	-	0.3
chr1	16496790	-	0.27
chr1	16496821	-	0.91
chr1	16496846	-	0.31
chr1	16497316	-	0.36
chr1	16563006	-	0.56
chr1	16563143	-	0.33
chr1	16563146	-	0.46
chr1	16620887	-	0.14
chr1	16620890	-	0.07
chr1	16620891	-	0.07
chr1	16620910	-	0.26
chr1	16620941	-	0.14
chr1	16620963	-	0.11
chr1	16620973	-	0.2
chr1	16620989	-	0.13
chr1	16621025	-	0.33
chr1	16621029	-	0.12
chr1	16622538	-	0.08
chr1	16622573	-	0.06
chr1	16622682	-	0.11
chr1	16622977	-	0.09
chr1	16624736	-	0.19
chr1	16624749	-	0.07
chr1	16624817	-	0.5
chr1	16624819	-	0.83
chr1	16624829	-	0.88
chr1	16624832	-	0.19
chr1	16624858	-	0.31
chr1	16625408	-	0.57
chr1	16625418	-	0.24
chr1	16625447	-	0.12
chr1	16625488	-	0.24
chr1	16625490	-	0.19
chr1	16625491	-	0.09
chr1	16625504	-	0.11
chr1	16625561	-	0.08
chr1	16951970	+	0.26
